johnmurphy@Johns-MacBook-Pro stephen-python-words % python3 03\ based\ on\ individual\ buys\ strategy\ copy.py 
Word: SHORTINTERESTLT8, Mean Trend (%): 0.6392575458032757
Word: ZSCORESUMGT1300, Mean Trend (%): 0.6384749711875038
Word: POB30, Mean Trend (%): 0.6265384313959496
Word: RECZSCOREDIFFN80, Mean Trend (%): 0.6194204330476885
Word: WORDSCORE1, Mean Trend (%): 0.5294701314884444
Word: POSITIONWORDANALYSISWORDPERC60, Mean Trend (%): 0.5243833982349472
Word: neutral, Mean Trend (%): 0.4803804737321006
Word: HOTTHINGTICKERRECSMYSCOREGT53, Mean Trend (%): 0.4148755211037663
Word: RETURNGTNEG1, Mean Trend (%): 0.37602629421138656
Word: PSWORDPERC25, Mean Trend (%): 0.2963478870579595
Word: SUPERDUPERSTRONG_LOWERTSOFFSET, Mean Trend (%): 0.2918550815470868
Word: SINGLEWORDPERC40, Mean Trend (%): 0.22988295953716836
Word: 10min, Mean Trend (%): 0.08532566722230321
Word: AVGWORDPERC55, Mean Trend (%): 0.05253914635645718
Word: FIFTY_RSIOFFSET, Mean Trend (%): -0.13170729008158596
Word: ACTONBUYMULTTIMEAFTERHOURS, Mean Trend (%): -0.16350871051051258
Word: SUPERDUPERSTRONG_STSENTOFFSET, Mean Trend (%): -0.2398445915237513
Word: WORDSCORE2, Mean Trend (%): -0.2978633045599463
Word: notStraightDowner, Mean Trend (%): -0.3393077074657221
Word: AVGWORDPERC45, Mean Trend (%): -0.3561575630558421
Word: average down, Mean Trend (%): -0.42933996086436405
Word: rsi, Mean Trend (%): -0.6240018461001575
Word: PDOLVOLNOTDEFINED, Mean Trend (%): -0.6242533318954008
Word: dailyRSIlt30, Mean Trend (%): -0.6321456982696777
Word: FIFTYBADCHINAOFFSET, Mean Trend (%): -0.6989471156628025
Word: ZSCORESUMGT500, Mean Trend (%): -0.7004451454133761
Word: fraud, Mean Trend (%): -0.7424626655399197
Word: BBSCOREGT450, Mean Trend (%): -0.7728783181294554
Word: delist, Mean Trend (%): -0.7935763685184352
Word: PSWORDPERC55, Mean Trend (%): -0.7979178441302456
Word: INFLATIONCOUNTGT20, Mean Trend (%): -0.8194444940236214
Word: SPACWF, Mean Trend (%): -0.839625026389951
Word: FIFTYBADRSIOFFSET, Mean Trend (%): -0.9475316689966389
Word: PSWORDPERC30, Mean Trend (%): -0.9882800002199734
Word: AVGWORDPERC75, Mean Trend (%): -0.9954043381736063
Word: DELISTWF, Mean Trend (%): -1.0050607760697612
Word: INFLATIONCOUNTGT60, Mean Trend (%): -1.0485199992992276
Word: HOTTHINGAVGWORDPERCGT70, Mean Trend (%): -1.1479792026400484
Word: AVGWORDPERC70, Mean Trend (%): -1.1601851917973636
Word: WORDSCOREN5, Mean Trend (%): -1.2050267440812337
Word: SINGLEWORDPERC35, Mean Trend (%): -1.2442927110139828
Word: STBRACKETBEARISH, Mean Trend (%): -1.3894943311398584
Word: 30min, Mean Trend (%): -1.4248884509062993
Word: LOWESTPOSITIONWORDANALYSISWORDPERC, Mean Trend (%): -1.6035238682921578
Word: rhtop100, Mean Trend (%): -1.6575833779941422
Word: SUPERSTRONG_VOLUMETOFLOATOFFSET, Mean Trend (%): -1.7335209562245562
Word: AVGWORDPERC30, Mean Trend (%): -1.7398905694371445
Word: HOTCOUNTWORD2, Mean Trend (%): -1.755423752519585
Word: bankrupt, Mean Trend (%): -1.8128524772724173
Word: bankruptcy, Mean Trend (%): -1.8128524772724173
Word: INFLATIONCOUNTGT30, Mean Trend (%): -1.9661924147687624
Word: ZSCORESUMGT600, Mean Trend (%): -1.9956327369572335
Word: rsilt25, Mean Trend (%): -2.031115793160851
Word: FIFTY_RECOFFSET, Mean Trend (%): -2.187097172564464
Word: HOTCOUNTWORD1, Mean Trend (%): -2.282120344330633
Word: mediumJump, Mean Trend (%): -2.3111350255658007
Word: restOS, Mean Trend (%): -2.321973959584033
Word: WORDSCORE9, Mean Trend (%): -2.4000684229257434
Word: avgDollarVolume10000, Mean Trend (%): -2.6189159556046886
Word: FIFTYBADTSLOFFSET, Mean Trend (%): -2.734183391605876
Word: STBRACKETBULLISH, Mean Trend (%): -2.8531449136530385
Word: down20, Mean Trend (%): -2.8598934166759515
Word: SHORTINTERESTLT40, Mean Trend (%): -2.977982677040272
Word: brunch, Mean Trend (%): -3.0040997280060306
Word: FUCKWF, Mean Trend (%): -3.1839085539312935
Word: RECZSCOREDIFF40, Mean Trend (%): -3.3220192685535124
Word: gnewsoffering, Mean Trend (%): -3.437750514892518
Word: offering, Mean Trend (%): -3.4666783648292636
Word: DTSCORELTNEG300, Mean Trend (%): -3.511734629063657
Word: BOUNCEWF, Mean Trend (%): -3.5186674471150488
Word: BBSCOREGTN100, Mean Trend (%): -3.538344795535985
Word: bearish, Mean Trend (%): -3.620144800968165
Word: HIGHESTSINGLERECMYSCORE, Mean Trend (%): -3.7505500254231734
Word: INFLATIONCOUNTGT5, Mean Trend (%): -3.7904266680223326
Word: AVGWORDPERC15, Mean Trend (%): -3.7904266680223326
Word: SINGLEWORDPERC25, Mean Trend (%): -3.7904266680223326
Word: avgDollarVolume3500, Mean Trend (%): -3.9696641468002944
Word: sudden, Mean Trend (%): -4.291197187204963
Word: drops, Mean Trend (%): -4.291197187204963
Word: POSITIONWORDANALYSISWORDPERC55, Mean Trend (%): -4.471186362337156
Word: FIFTY_ASKBELOWLASTOFFSET, Mean Trend (%): -4.537905026536995
Word: ZSCORESUMGT700, Mean Trend (%): -4.6406750590696895
Word: BUYINGTRIEDTOBUY, Mean Trend (%): -4.809193342799482
Word: RECZSCOREDIFF440, Mean Trend (%): -5.012486676401174
Word: mostBearish, Mean Trend (%): -5.092256676452208
Word: BBSCOREGT250, Mean Trend (%): -5.302338791286494
Word: tickerRecTickers, Mean Trend (%): -5.458546249930785
Word: SHORTINTERESTLT1, Mean Trend (%): -5.672954529776332
Word: RECZSCOREDIFF400, Mean Trend (%): -5.727356871020223
Word: POSITIONWORDANALYSISSINGLEGTE7, Mean Trend (%): -5.754661799078093
Word: FRAUDWF, Mean Trend (%): -5.788121242427372
Word: 5min, Mean Trend (%): -6.02375157863923
Word: minorJump, Mean Trend (%): -6.02375157863923
Word: dailyRSIgt30, Mean Trend (%): -6.107313431767508
Word: INFLATIONCOUNTGT10, Mean Trend (%): -6.113006796796213
Word: RETURNGT4, Mean Trend (%): -6.151978381729439
Word: avgDollarVolume20000, Mean Trend (%): -6.1588582097051985
Word: WORDSCORE21, Mean Trend (%): -6.205027566663864
Word: SHORTINTERESTOFOSLT70, Mean Trend (%): -6.254474368873973
Word: NOTOPENED, Mean Trend (%): -6.348823948030566
Word: ACTONBUYMULTTIMEPREMARKET, Mean Trend (%): -6.4212202965149485
Word: POSITIONWORDANALYSISSINGLEGTEN7, Mean Trend (%): -6.45723190809044
Word: spac, Mean Trend (%): -6.484565066322766
Word: avgh10, Mean Trend (%): -6.556421521259375
Word: FIFTYBADPRICETOOLOWOFFSET, Mean Trend (%): -6.711601999770178
Word: manual, Mean Trend (%): -6.768294932246029
Word: dinner, Mean Trend (%): -6.8056587961659
Word: twoToFive, Mean Trend (%): -6.849191509295246
Word: firstAlert, Mean Trend (%): -6.967762394723341
